,trend_acc_lag_3d,trend_acc_lag_7d,rmse
Benchmark-1,0.7867263236390754,0.7555834378920954,10.065366052106905
Benchmark-2,0.7847377578921203,0.7614805520702634,9.246203516140833
Poisson-1,0.7875963211533681,0.7661229611041406,9.163881411522535
Poisson-2,0.7885906040268457,0.7654956085319949,8.883762906240449
NOtr-1,0.78287347750435,0.7608531994981179,9.413235020496952
NOtr-2,0.78287347750435,0.7608531994981179,9.413235020496952
GBM-2,0.7696992294307731,0.7412797992471769,11.662810765229619
Ttr-2,0.7857320407655978,0.7651191969887077,9.394355209399912
NBI-2,0.7894606015411385,0.7656210790464241,8.88292616335348
qreg-1,0.7500621426795924,0.7291091593475533,13.336746353911003
Poisson-2-I,0.7833706189410887,0.7614805520702634,9.457940972157987
tbats,0.6905940594059405,0.6659170414792603,12.904860155891793
ADAM-iETSX,0.6793713649300829,0.6632512807697114,28.00033842850689
ETS,0.6561069174607103,0.6471323253779833,29.357745391362016
Regression-Poisson,0.692983541640886,0.6742471573160065,21.162303829906712
Prophet,0.6863861386138614,0.6724137931034483,13.07846171480972
